subpath_name;asset_id;city
E2jzligH5LDiQCch9Sfj-139_E2jzligH5LDiQCch9Sfj-141;10LMQNSHLCD001;mam-beijing
E2jzligH5LDiQCch9Sfj-140_E2jzligH5LDiQCch9Sfj-142;10LMQSSHCPA001;mam-beijing
E2jzligH5LDiQCch9Sfj-143_E2jzligH5LDiQCch9Sfj-146;10LMQPPL001;mam-beijing
E2jzligH5LDiQCch9Sfj-144_E2jzligH5LDiQCch9Sfj-145;10LMQPPL009;mam-beijing
E2jzligH5LDiQCch9Sfj-166_E2jzligH5LDiQCch9Sfj-171;10LMQCCPA001;mam-beijing
E2jzligH5LDiQCch9Sfj-167_E2jzligH5LDiQCch9Sfj-172;10LMQACPA001;mam-beijing
E2jzligH5LDiQCch9Sfj-167_E2jzligH5LDiQCch9Sfj-170;10LMQB135LED001;mam-beijing
E2jzligH5LDiQCch9Sfj-166_E2jzligH5LDiQCch9Sfj-173;10LMQDCPA001;mam-beijing
E2jzligH5LDiQCch9Sfj-168_E2jzligH5LDiQCch9Sfj-167;10LMQNSHLCD001;mam-beijing
E2jzligH5LDiQCch9Sfj-169_E2jzligH5LDiQCch9Sfj-166;10LMQSSHCPA001;mam-beijing
E2jzligH5LDiQCch9Sfj-176_E2jzligH5LDiQCch9Sfj-174;10LMQPPILLA030;mam-beijing
E2jzligH5LDiQCch9Sfj-177_E2jzligH5LDiQCch9Sfj-174;10LMQPPILLA005;mam-beijing
E2jzligH5LDiQCch9Sfj-178_E2jzligH5LDiQCch9Sfj-175;10LMQPPILLA025;mam-beijing
E2jzligH5LDiQCch9Sfj-179_E2jzligH5LDiQCch9Sfj-175;10LMQPPILLA011;mam-beijing
K51HMXjw95p_UUZH9kzZ-63_K51HMXjw95p_UUZH9kzZ-65;10NYZLGPPL001;mam-beijing
K51HMXjw95p_UUZH9kzZ-64_K51HMXjw95p_UUZH9kzZ-66;10NYZLGPPL010;mam-beijing
K51HMXjw95p_UUZH9kzZ-59_K51HMXjw95p_UUZH9kzZ-74;10NYZLGSH135LED002;mam-beijing
K51HMXjw95p_UUZH9kzZ-60_K51HMXjw95p_UUZH9kzZ-75;10NYZLGSHCPA001;mam-beijing
K51HMXjw95p_UUZH9kzZ-84_K51HMXjw95p_UUZH9kzZ-87;10NYZLGPPL010;mam-beijing
K51HMXjw95p_UUZH9kzZ-85_K51HMXjw95p_UUZH9kzZ-87;10NYZLGPPL019;mam-beijing
K51HMXjw95p_UUZH9kzZ-82_K51HMXjw95p_UUZH9kzZ-86;10NYZLGPPL001;mam-beijing
K51HMXjw95p_UUZH9kzZ-83_K51HMXjw95p_UUZH9kzZ-86;10NYZLGPPL028;mam-beijing
K51HMXjw95p_UUZH9kzZ-90_K51HMXjw95p_UUZH9kzZ-105;10NYZLGSH135LED002;mam-beijing
